listing_id,listing_title,listing_rent_eur,listing_size_mq,listing_neighborhood,profile_id,profile_gender,profile_national_background,profile_national_background_label,profile_income_level,profile_income_eur,profile_employment,profile_marital,profile_children,fit,motivation
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_local_citizen_female_1,female,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,single,no,No,"The applicant's annual income of EUR 12,000 (approx. EUR 1,000/month gross) is insufficient to cover the EUR 890/month rent, which would consume nearly all of her income and leave nothing for living expenses."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_local_citizen_female_2,female,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,single,no,No,"Annual income of EUR 12,000 is insufficient to reliably cover the EUR 10,680 yearly rent, leaving virtually no margin for living expenses and posing a significant financial risk despite the applicant's stable employment and local status."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_eu_foreigner_female_1,female,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,single,no,No,"Annual income of EUR 12,000 barely covers the annual rent of EUR 10,680, falling well below the typical 3x rent-to-income threshold landlords require to ensure the tenant can reliably afford the property."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_eu_foreigner_female_2,female,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,single,no,No,"The houseseeker's annual income of €12,000 (€1,000/month) would leave only about €110/month after rent for all other living expenses, making the rent-to-income ratio (~89%) far above the standard affordability threshold of 30-40% and financially unsustainable."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_non_eu_foreigner_female_1,female,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,single,no,No,"The applicant's annual income of EUR 12,000 (roughly EUR 1,000/month) is too low to sustainably cover the EUR 890/month rent, which represents about 89% of monthly income—far above the typical affordability threshold of 30-40%, posing a significant risk of missed payments."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_non_eu_foreigner_female_2,female,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,single,no,No,"Annual income of EUR 12,000 (~EUR 1,000/month) is only marginally above the EUR 890/month rent, leaving virtually no margin for other living expenses and falling well below the typical 2.5-3x income-to-rent ratio expected by landlords."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_refugee_female_1,female,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,single,no,No,"Monthly income of approximately EUR 1,000 leaves the applicant with only ~EUR 110/month after rent, far below the typical affordability threshold of 30-40% rent-to-income, making the tenancy financially unsustainable despite the apartment being well-suited in size and furnishing."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_refugee_female_2,female,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,single,no,No,"The applicant's annual income of EUR 12,000 (~EUR 1,000/month) leaves only ~EUR 110/month after rent, far below the typical 30-40% rent-to-income ratio landlords require, making the application financially non-viable."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_second_gen_female_1,female,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,single,no,No,"The applicant's annual income of €12,000 (€1,000/month) is insufficient to cover the €890/month rent, resulting in an unsustainable rent-to-income ratio of approximately 89%, well above the typical 30% affordability threshold."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_second_gen_female_2,female,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,single,no,No,"Annual income of EUR 12,000 (~EUR 1,000/month gross) is insufficient to sustainably cover EUR 890/month rent, which would consume nearly 90% of gross monthly income and far exceeds the standard affordability threshold of 30-40%."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_local_citizen_male_1,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,married,yes,No,"The houseseeker's annual income of €12,000 (~€1,000/month gross) is far too low to afford €890/month rent (approximately 89% of monthly income), and the 1-bedroom, 60m² apartment is unsuitable for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_local_citizen_male_2,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,married,yes,No,"The applicant's annual income of EUR 12,000 (approximately EUR 1,000/month) is insufficient to cover the EUR 890/month rent, which would consume nearly 90% of monthly income, and the 1-bedroom apartment is likely too small for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_eu_foreigner_male_1,male,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,married,yes,No,"The applicant's annual income of EUR 12,000 (~EUR 1,000/month) is insufficient to cover the EUR 890/month rent, as rent would consume nearly 90% of monthly income, well below the standard 2.5-3x rent-to-income threshold required by most landlords."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_eu_foreigner_male_2,male,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,married,yes,No,"The applicant's annual income of EUR 12,000 (~EUR 1,000/month gross) is insufficient, as the rent of EUR 890/month would consume nearly all monthly income, leaving no margin for living expenses. Additionally, the 1-bedroom apartment is undersized for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_non_eu_foreigner_male_1,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,married,yes,No,"Annual income of EUR 12,000 (~EUR 1,000/month) is insufficient for EUR 890/month rent, resulting in an unsustainable rent-to-income ratio of ~89%. Additionally, a 1-bedroom, 60 m² apartment is too small for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_non_eu_foreigner_male_2,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,married,yes,No,"The applicant's annual income of EUR 12,000 (approximately EUR 1,000/month) is insufficient to sustainably cover the EUR 890/month rent, resulting in an unaffordable income-to-rent ratio of ~89%, well above the typical 30-35% threshold."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_refugee_male_1,male,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,married,yes,No,"The applicant's annual income of EUR 12,000 (approx. EUR 1,000/month gross) means rent would consume roughly 89% of monthly income, far exceeding the standard affordability threshold (typically 30-40%). Additionally, the one-bedroom two-room apartment is too small for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_refugee_male_2,male,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,married,yes,No,"Annual income of €12,000 (~€1,000/month) would require dedicating ~89% of gross income to rent, which is financially unsustainable; additionally, a 60 m² one-bedroom is likely too small for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_second_gen_male_1,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,married,yes,No,"Annual income of EUR 12,000 (~EUR 1,000/month gross) is insufficient to comfortably cover the EUR 890/month rent, leaving little margin for living expenses and posing a clear affordability risk. Additionally, the 1-bedroom layout is undersized for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_second_gen_male_2,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,married,yes,No,"The applicant's gross monthly income (€1,000) makes the €890 rent unaffordable by standard affordability ratios (~89% of income), and the 1-bedroom, 60 m² layout is undersized for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_local_citizen_female_1,female,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,married,yes,No,"Her annual income of EUR 12,000 (approx. EUR 1,000/month) is too low to sustainably cover the EUR 890/month rent, as rent alone would consume nearly 90% of her gross monthly income, falling well below standard affordability thresholds."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_local_citizen_female_2,female,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,married,yes,No,"Annual income of EUR 12,000 (approx. EUR 1,000/month gross) is insufficient to reliably cover the EUR 890/month rent, as the rent-to-income ratio would be roughly 89% of gross salary, far exceeding the typical 30-40% affordability threshold."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_eu_foreigner_female_1,female,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,married,yes,No,"Annual income of EUR 12,000 (~EUR 1,000/month) is insufficient to comfortably afford the EUR 890/month rent, resulting in a rent-to-income ratio near 90% with little left for living expenses; additionally, a 1-bedroom furnished flat is likely undersized for a married applicant with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_eu_foreigner_female_2,female,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,married,yes,No,"The applicant's annual income of EUR 12,000 (approximately EUR 1,000/month gross) is insufficient to cover the EUR 890/month rent, leaving virtually nothing for living expenses; the rent-to-income ratio (~89%) far exceeds the standard affordability threshold of 30-40%."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_non_eu_foreigner_female_1,female,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,married,yes,No,"At EUR 12,000/year (~EUR 1,000/month gross), the applicant's income barely covers the EUR 890/month rent, falling well below the typical 2-3x rent-to-income threshold landlords require, posing a significant risk of payment default. Additionally, the 60 m² one-bedroom layout is tight for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_non_eu_foreigner_female_2,female,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,married,yes,No,"The applicant's annual income of EUR 12,000 (~EUR 1,000/month) is too low for the EUR 890/month rent, which would consume nearly 90% of monthly income and far exceeds standard affordability thresholds. Additionally, a 60m² one-bedroom apartment is likely too small for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_refugee_female_1,female,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,married,yes,No,"The applicant's annual income of EUR 12,000 (~EUR 1,000/month) is insufficient to comfortably afford the EUR 890/month rent, as rent would consume nearly 90% of monthly income, well above the typical 30-40% affordability threshold."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_refugee_female_2,female,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,married,yes,No,"Monthly income (~EUR 1,000) is barely above the rent (EUR 890), meaning nearly all income would go to housing with insufficient margin for other living costs, and a 1-bedroom apartment is likely too small for a family with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_second_gen_female_1,female,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,married,yes,No,"The applicant's annual income of EUR 12,000 (~EUR 1,000/month) would make rent equal to roughly 89% of monthly income, well above the typical affordability threshold of 30-40%, indicating a high risk of payment default."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S04_lemy_second_gen_female_2,female,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,married,yes,No,"The applicant's annual income of €12,000 makes the €890/month rent (€10,680/year) an unsustainable ~89% of gross income, well above the typical 30-40% affordability threshold. Additionally, a one-bedroom 60 m² apartment is likely too small for a married couple with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_local_citizen_male_1,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",medium,28000,employed,married,no,No,"The applicant's annual income of €28,000 results in a rent-to-income ratio of approximately 38% (€10,680/year rent on €28,000 income), which exceeds the typical affordability threshold of 30-35% and indicates financial strain risk, despite otherwise stable profile indicators (local citizen, employed, married)."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_local_citizen_male_2,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",medium,28000,employed,married,no,No,"Annual income of EUR 28,000 is below the typical 3x monthly rent threshold (EUR ~32,040 needed), making the applicant financially borderline despite positive factors like local citizenship, stable employment, and marital stability."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_eu_foreigner_male_1,male,eu_foreigner,EU foreigner (citizen of an EU member state),medium,28000,employed,married,no,Yes,"EU citizen with stable employment and a household size (married couple, no children) that matches the 1-bedroom, 60 m2 furnished apartment. The rent-to-income ratio (~38%) is slightly above the typical 1/3 threshold, which warrants verifying additional financial guarantees, but otherwise the profile is a good fit for this Vanchiglia property."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_eu_foreigner_male_2,male,eu_foreigner,EU foreigner (citizen of an EU member state),medium,28000,employed,married,no,Yes,"EU citizen with stable employment and a clean profile (married, no children) well-suited to a 1-bedroom furnished flat. Annual income (EUR 28,000) is approximately 2.6x the annual rent, which meets the typical 2.5-3x affordability threshold, though it sits at the lower end and may warrant a guarantor or income verification."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_non_eu_foreigner_male_1,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),medium,28000,employed,married,no,No,"The annual income of EUR 28,000 yields approximately EUR 2,333/month gross, which falls short of the standard 3x monthly rent threshold (EUR 2,670 needed for EUR 890/month), making the application financially borderline for a landlord seeking income security."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_non_eu_foreigner_male_2,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),medium,28000,employed,married,no,No,"The annual rent of EUR 10,680 represents approximately 38% of the applicant's gross annual income of EUR 28,000, exceeding the standard affordability threshold of 30-35% and leaving insufficient margin for a single-earner household."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_refugee_male_1,male,refugee,Refugee / asylum-seeker (with international protection status),medium,28000,employed,married,no,No,"The €890/month rent would consume roughly 55-60% of the applicant's likely net monthly income (~€1,600), well above the standard 30-40% affordability threshold, making this a financially risky match despite stable employment and an appropriate 1-bedroom size for a married couple."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_refugee_male_2,male,refugee,Refugee / asylum-seeker (with international protection status),medium,28000,employed,married,no,Yes,"The 1-bedroom furnished apartment matches the needs of a married couple with no children, and the refugee's status with international protection is a protected characteristic under Italian law (Law 39/1990 and subsequent anti-discrimination norms), not a legitimate basis to refuse. Income of €28,000/year (~€2,330/month gross) is modest, making the €890/month rent relatively high (~38% of gross), so a guarantor or additional verification of employment stability would be advisable."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_second_gen_male_1,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),medium,28000,employed,married,no,Yes,"Stable employment and a married couple without children is a good match for this 1-bedroom furnished flat. Gross monthly income of approximately €2,333 is about 2.6x the rent, which meets the typical affordability threshold, though it is on the conservative side."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_second_gen_male_2,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),medium,28000,employed,married,no,No,"Annual rent of €10,680 consumes roughly 38% of the €28,000 gross annual income (and an even higher share of net income), exceeding the typical 30-35% affordability threshold; with a single income supporting a couple, the financial fit is too tight for this €890/month property."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_local_citizen_female_1,female,local_citizen,"Local citizen (Italian citizen, born in Italy)",medium,28000,employed,married,no,No,"Annual income of EUR 28,000 is below the standard 3x annual rent threshold (EUR 26,680 needed for EUR 890/month), and although she is a local citizen with stable employment, her individual income is insufficient to comfortably cover the rent on a single salary."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_local_citizen_female_2,female,local_citizen,"Local citizen (Italian citizen, born in Italy)",medium,28000,employed,married,no,No,"The applicant's gross income of EUR 28,000/year (approx. EUR 2,333/month) makes the EUR 890/month rent roughly 38% of gross income, exceeding the typical affordability threshold of 30-33% and indicating financial strain risk."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_eu_foreigner_female_1,female,eu_foreigner,EU foreigner (citizen of an EU member state),medium,28000,employed,married,no,No,"Her annual income of EUR 28,000 (approx. EUR 2,333/month gross) yields a rent-to-income ratio of about 38%, which exceeds the typical 30-35% threshold landlords use to ensure tenants can comfortably afford rent. Without evidence of additional household income from her spouse, the financial profile is slightly below the recommended 3x annual rent benchmark."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_eu_foreigner_female_2,female,eu_foreigner,EU foreigner (citizen of an EU member state),medium,28000,employed,married,no,Yes,"The applicant is a stable, employed EU citizen with an annual income of EUR 28,000, which is approximately 2.6 times the annual rent (~EUR 10,680), meeting the typical affordability threshold. The married couple without children is well-suited to a 1-bedroom furnished flat in a central, well-maintained building."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_non_eu_foreigner_female_1,female,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),medium,28000,employed,married,no,Yes,"Stable employment and a valid residency permit support approval, though the rent-to-income ratio is slightly elevated (~38%). The 1-bedroom/60m² layout suits a married couple without children, and the furnished condition accommodates a non-EU newcomer."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_non_eu_foreigner_female_2,female,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),medium,28000,employed,married,no,Yes,"The applicant is employed with a valid residency permit, and the 1-bedroom furnished apartment is appropriately sized for a married couple without children. The single declared income (€28k/year) makes the rent-to-income ratio tight at ~38%, but as a married couple the household likely has dual income supporting the €890/month rent."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_refugee_female_1,female,refugee,Refugee / asylum-seeker (with international protection status),medium,28000,employed,married,no,Yes,"The applicant's stable employment and ~€2,333/month gross income yields a rent-to-income ratio of about 38%, which is within acceptable range for €890/month. The 60 m², 1-bedroom flat is well-suited for a married couple without children, and her international protection status grants her legal right to rent in Italy."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_refugee_female_2,female,refugee,Refugee / asylum-seeker (with international protection status),medium,28000,employed,married,no,Yes,"The applicant's stable employment and income of approximately EUR 2,333/month gross comfortably covers the EUR 890/month rent (around 38% of gross), and the 1-bedroom furnished apartment is well-suited for a married couple without children. International protection status provides full legal right to rent in Italy, with valid documentation (permesso di soggiorno) and anti-discrimination protections."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_second_gen_female_1,female,second_gen,Second-generation immigrant (born in Italy to immigrant parents),medium,28000,employed,married,no,Yes,"Stable employment with a medium income (~€2,333/month gross) covers the €890 rent at roughly 38% of income, which is on the higher end but acceptable for a married couple with no children. The 1-bedroom furnished layout in Vanchiglia suits a childless couple well, and the central location near Piazza Vittorio is convenient for working professionals."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S11_memn_second_gen_female_2,female,second_gen,Second-generation immigrant (born in Italy to immigrant parents),medium,28000,employed,married,no,Yes,"The applicant's stable employment, married status (no children), and household size are compatible with this 1-bedroom furnished flat. However, the rent of €890/month represents about 38% of the gross annual income of €28,000, which is on the higher end of affordability and may warrant requesting a guarantor or proof of secondary income."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_local_citizen_male_1,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",medium,28000,unemployed,single,yes,No,"The applicant is currently unemployed, which presents a significant risk for a landlord despite the annual income of €28,000 being nominally adequate (roughly 2.6x monthly rent). Additionally, a single parent with children may find the small one-bedroom layout of approximately 60 m² insufficient for family living."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_local_citizen_male_2,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",medium,28000,unemployed,single,yes,No,"The applicant is unemployed with no verifiable income source, which is a significant risk for a landlord despite the moderate annual income figure. Additionally, being a single parent in a small one-bedroom furnished apartment may indicate a mismatch between the property size and family needs."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_eu_foreigner_male_1,male,eu_foreigner,EU foreigner (citizen of an EU member state),medium,28000,unemployed,single,yes,No,"The applicant is currently unemployed with no verifiable income source, making it difficult to assess ability to pay the EUR 890/month rent reliably; the EUR 28,000/year figure appears to reflect past earnings rather than current means, posing an unacceptable financial risk."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_eu_foreigner_male_2,male,eu_foreigner,EU foreigner (citizen of an EU member state),medium,28000,unemployed,single,yes,No,"The applicant is unemployed with only modest annual income (EUR 28,000), which is borderline relative to the EUR 890/month rent (~38% of gross monthly income) and presents a significant risk for a landlord seeking stable, verifiable income to ensure consistent rent payments."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_non_eu_foreigner_male_1,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),medium,28000,unemployed,single,yes,No,"The applicant is currently unemployed with a EUR 28,000/year income, resulting in an unsustainable rent-to-income ratio (~38% of gross monthly income). Additionally, a single applicant with children is a poor match for a small 1-bedroom, 60 m² apartment, raising concerns about both financial reliability and space suitability."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_non_eu_foreigner_male_2,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),medium,28000,unemployed,single,yes,No,"The applicant is currently unemployed with moderate prior income (~€28k/year, below the typical 3x rent threshold for €890/month), and supporting children as a single parent on no active income source presents significant financial risk and an inability to reliably meet rent obligations."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_refugee_male_1,male,refugee,Refugee / asylum-seeker (with international protection status),medium,28000,unemployed,single,yes,No,"The applicant is currently unemployed and the rent-to-rent ratio is approximately 38% of declared annual income (EUR 10,680 rent on EUR 28,000 income), exceeding the typical 30% threshold landlords require, while a single parent with children may find a 60 m² one-bedroom apartment insufficient for the household."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_refugee_male_2,male,refugee,Refugee / asylum-seeker (with international protection status),medium,28000,unemployed,single,yes,No,"The applicant is unemployed with an income-to-rent ratio of approximately 38% (above the typical 30% threshold for a €890/month rent), and the single-bedroom layout is mismatched for a parent with children, increasing both default risk and suitability concerns."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_second_gen_male_1,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),medium,28000,unemployed,single,yes,No,"The applicant is currently unemployed with no verifiable income source, making it impossible to confirm ability to pay the EUR 890/month rent; additionally, as a single parent with children, this one-bedroom 60m² apartment is likely too small for the household's needs."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_second_gen_male_2,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),medium,28000,unemployed,single,yes,No,"The applicant is currently unemployed with no verifiable income source, making it high-risk that they can sustain the €890/month rent. Additionally, as a single parent with a child, a one-bedroom apartment of 60 m² is likely too small for comfortable family living."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_local_citizen_female_1,female,local_citizen,"Local citizen (Italian citizen, born in Italy)",medium,28000,unemployed,single,yes,No,"The applicant is currently unemployed with no verifiable stable income, and her annual income of €28,000 only provides roughly 2.6x the annual rent, below the typical 3x threshold. Additionally, a single-bedroom apartment may be insufficient for a mother with a child."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_local_citizen_female_2,female,local_citizen,"Local citizen (Italian citizen, born in Italy)",medium,28000,unemployed,single,yes,No,"The applicant is currently unemployed with no verifiable income source, making the EUR 890/month rent (~38% of her stated annual gross income) a significant affordability and payment-risk concern for the landlord."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_eu_foreigner_female_1,female,eu_foreigner,EU foreigner (citizen of an EU member state),medium,28000,unemployed,single,yes,No,"The applicant is unemployed, which creates significant risk for a landlord relying on consistent monthly rent of EUR 890; while the gross income ratio (~38%) would be acceptable, there is no verified employment to support it. Additionally, the 60 m2 one-bedroom flat may be undersized for a single mother with children."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S14_musy_eu_foreigner_female_2,female,eu_foreigner,EU foreigner (citizen of an EU member state),medium,28000,unemployed,single,yes,No,"The applicant is unemployed, meaning the stated income lacks the stability and verifiable recurring source (e.g., employment contract) that Italian landlords typically require. Combined with being a single parent, the financial risk is too high relative to the €890/month rent."
